user_id,apparel,bags,shop_by_brand,drinkware,new,clearance,accessories,campus_collection,office,lifestyle,small_goods,uncategorized_items,stationery,google,writing_instruments,fun,unknown,electronics_accessories,notebooks_journals,gift_cards,black_lives_matter
ctwruxzjld,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
begigrjxyn,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agogitfbpg,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ghwajfkofc,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rkfqmfmwnd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feeeipawgj,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erjtwbtniq,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hfntxdilwl,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
icpynjoiui,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ewbswhxgrf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ezrlouiigf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ebpujyvmav,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vkapkitkss,0,0,0,4,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eglmxjmnay,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tlpeddbyxm,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ecedatdhdh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yomfkwlhrr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nfdijbllag,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
uhgutisfjy,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bqawzrdskt,3,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0
etnfqsfbpt,2,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
dxbtwjnvsa,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0
vathguasnf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
xydybzlzqs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mqefvkfruv,6,1,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
shyjuzbuci,0,75,0,0,0,0,0,0,75,0,0,0,100,75,0,75,0,0,0,0,0
qhspvgjojh,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
txtmkvaeax,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
zmwldzxtwy,1,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sdtzkpdgzi,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kcpxwtnznl,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbpemycioe,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ynousavnsc,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nqnwdsdqsp,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
abmcjgstcv,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
okrvgdhxjk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amtcysfmfk,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ycsnkdzokf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pbdjjmlbxf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cbpqtertvd,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tsbxxrcmvo,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
bgjoxnuvvp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
izpjrgayzb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ubtdvgmfsj,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qhnzcexqkr,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zbnqiqgvbn,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
djoibydgth,3,0,1,4,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
dumeyebiwl,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
cvkxotsvgj,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rtcvxksacg,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dsxsaokotg,2,1,1,0,4,2,0,8,1,0,1,0,0,0,0,0,2,0,0,0,0
tfzjfzxaiq,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fzvkpfbqix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qfawnausxd,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hdmyletzvz,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
healdwjofs,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
xfqaidmpkg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ataiwajrxx,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flvbslofon,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yujezjchxj,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boojympmwb,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zqgnutolrn,8,0,0,0,30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ixgjcbfzth,8,2,0,0,2,2,0,0,2,2,0,0,16,2,0,0,0,0,0,0,0
joiqztgxhv,7,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlthqrtkyl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xofxirvuxf,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bszidwljxn,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
dptxfecwvd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppegxbqfrv,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xfpytfdlmm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
mchzytqpni,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qoadhyzmfq,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
svkdvcozbq,2,0,6,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oykuvecdfv,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ebcrtlldsi,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qkwwajxtkr,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xdzwlsejzm,1,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
esgazyffgh,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
djalsszjsh,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bxyjqereem,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
